endereco,preco,area,quartos,banheiros,garagens
"Quadra ARSE 62 Alameda Portinari, Plano Diretor Sul",1300000,370,4,5,6
"Plano Diretor Sul, Palmas",490000,133,3,1,3
"Plano Diretor Sul, Palmas",450000,192,3,1,3
"Plano Diretor Sul, Palmas",390000,250,3,1,2
"Plano Diretor Sul, Palmas",680000,135,3,3,0
"Plano Diretor Sul, Palmas",1980000,234,4,6,4
"Quadra ALCSO 141B QD 1, Plano Diretor Sul",650000,219,4,3,2
"ARNE 13 Alameda 12, Plano Diretor Norte",1200000,250,4,4,6
"Plano Diretor Sul, Palmas",850000,406,3,4,4
"Plano Diretor Sul, Palmas",880000,175,4,1,2
"Plano Diretor Sul, Palmas",580000,124,3,2,2
"Plano Diretor Sul, Palmas",950000,175,3,2,0
"Quadra ARSO 52 Alameda 35, Plano Diretor Sul",520000,104,2,1,2
"Quadra ARSO 122 Quadra 4, Plano Diretor Sul",599000,148,3,3,4
"Quadra ARSE 51 Alameda 8, Plano Diretor Sul",780000,360,3,2,3
"Plano Diretor Norte, Palmas",1200000,196,3,4,4
"Plano Diretor Sul, Palmas",499000,180,3,2,3
"Quadra ARSE 152 ACSV SE 152, Plano Diretor Sul",750000,140,2,3,4
"Plano Diretor Sul, Palmas",750000,160,3,2,3
"Plano Diretor Norte, Palmas",919000,450,3,1,2
"Rua Aldacy Gomes, Loteamento Bertaville",500000,113,4,3,2
"Plano Diretor Sul, Palmas",380000,360,3,1,3
"Plano Diretor Sul, Palmas",760000,130,3,2,2
"Plano Diretor Sul, Palmas",450000,180,3,1,2
"Plano Diretor Sul, Palmas",920000,177,3,1,2
"ARSO 53 Alameda 12, Plano Diretor Sul",695000,145,3,4,3
"ARNE 13 Alameda 16, Plano Diretor Norte",1600000,535,4,5,6
"Plano Diretor Sul, Palmas",870000,195,3,5,0
"Plano Diretor Norte, Palmas",800000,215,3,4,3
"Plano Diretor Sul, Palmas",1500000,900,4,4,4
"Plano Diretor Sul, Palmas",920000,117,3,2,2
"Plano Diretor Sul, Palmas",340000,67,2,1,2
"Plano Diretor Sul, Palmas",299000,100,3,1,1
"Plano Diretor Sul, Palmas",2850000,308,1,4,3
"Plano Diretor Sul, Palmas",599000,199,3,1,2
"ARSO 61 Alameda 10, Plano Diretor Sul",739000,248,3,4,1
"ARNE 13 Alameda 12, Plano Diretor Norte",4500000,690,4,7,4
"Plano Diretor Sul, Palmas",990000,190,3,4,0
"Plano Diretor Sul, Palmas",620000,174,3,1,2
"Plano Diretor Sul, Palmas",760000,150,3,1,2
"Plano Diretor Sul, Palmas",630000,152,3,3,4
"Plano Diretor Sul, Palmas",920000,370,3,4,2
"Plano Diretor Sul, Palmas",650000,277,3,1,3
"Plano Diretor Sul, Palmas",445000,225,3,1,2
"Plano Diretor Sul, Palmas",920000,177,3,3,2
"ARSO 32 Alameda 2, Plano Diretor Sul",1980000,373,4,4,4
"Plano Diretor Sul, Palmas",495000,180,3,1,2
"Plano Diretor Sul, Palmas",650000,239,3,1,3
"ARSO 61 Alameda 12, Plano Diretor Sul",450000,99,3,2,5
"Plano Diretor Sul, Palmas",610000,145,3,2,0
"Quadra ARSE 111 Alameda 12, Plano Diretor Sul",519000,103,3,2,2
"Plano Diretor Norte, Palmas",890000,360,3,3,3
"Plano Diretor Sul, Palmas",499000,103,3,1,2
"Plano Diretor Sul, Palmas",550000,371,3,1,3
"Plano Diretor Sul, Palmas",670000,224,3,2,3
"Plano Diretor Sul, Palmas",390000,249,3,1,2
"Plano Diretor Norte, Palmas",850000,360,3,1,3
"Plano Diretor Sul, Palmas",450000,450,3,1,2
"Plano Diretor Sul, Palmas",750000,168,4,1,4
"Plano Diretor Sul, Palmas",975000,184,3,4,2
"Plano Diretor Norte, Palmas",1350000,438,4,3,3
"Plano Diretor Sul, Palmas",720000,126,3,2,3
"Plano Diretor Sul, Palmas",550000,116,3,1,0
"Area Rural de Palmas, Palmas",2700000,687,3,4,3
"Plano Diretor Sul, Palmas",680000,172,3,3,0
"Plano Diretor Sul, Palmas",695000,150,3,1,2
"Plano Diretor Sul, Palmas",570000,140,3,2,2
"Plano Diretor Sul, Palmas",1100000,500,4,5,4
"ARSO 31 Alameda 20, Plano Diretor Sul",2500000,433,5,6,5
"Plano Diretor Sul, Palmas",1750000,200,3,4,4
"Plano Diretor Sul, Palmas",600000,450,3,1,3
"Plano Diretor Norte, Palmas",550000,360,3,2,1
"ARSO 34 Rua 7, Plano Diretor Sul",645000,135,3,1,2
"ARSO 43 Alameda Circular 1, Plano Diretor Sul",710000,178,3,1,4
"ARNE 12 Alameda 2, Plano Diretor Norte",1200000,196,3,4,3
"Plano Diretor Sul, Palmas",470000,300,4,1,4
"Plano Diretor Sul, Palmas",1850000,210,4,4,4
"Plano Diretor Sul, Palmas",914928,202,3,4,2
"Plano Diretor Sul, Palmas",1150000,200,3,3,0
"Plano Diretor Sul, Palmas",680000,225,3,1,2
"Plano Diretor Sul, Palmas",630000,240,3,2,3
"Plano Diretor Sul, Palmas",750000,160,2,3,1
"Plano Diretor Sul, Palmas",1080000,262,3,2,0
"Plano Diretor Sul, Palmas",580000,360,3,1,2
"Plano Diretor Sul, Palmas",1080000,262,3,2,0
"Quadra ALCSO 141B QD 12, Plano Diretor Sul",340000,89,2,1,2
"Quadra ARSE 72 Alameda 2, Plano Diretor Sul",380000,228,3,2,3
"Plano Diretor Sul, Palmas",730000,266,3,1,4
"Plano Diretor Sul, Palmas",380000,175,2,1,1
"ARNE 12 Alameda 4, Plano Diretor Norte",700000,211,4,1,2
"Quadra ARNE 71 Alameda 4, Plano Diretor Norte",570000,130,3,2,2
"Plano Diretor Sul, Palmas",670000,285,4,1,2
"Plano Diretor Sul, Palmas",560000,225,3,1,3
"Plano Diretor Sul, Palmas",1290000,312,5,4,4
"Plano Diretor Sul, Palmas",1200000,200,3,2,0
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",890000,380,3,3,4
"Plano Diretor Sul, Palmas",770000,198,3,3,0
"Jardim Aureny III, Palmas",150000,70,2,1,1
"Plano Diretor Sul, Palmas",950000,360,3,4,4
"Plano Diretor Sul, Palmas",1100000,302,4,4,4
"Plano Diretor Sul, Palmas",1750000,210,3,5,0
"Plano Diretor Sul, Palmas",290000,59,2,1,1
"Plano Diretor Sul, Palmas",950000,360,3,1,4
"Plano Diretor Sul, Palmas",440000,180,3,1,2
"Plano Diretor Sul, Palmas",1300000,238,3,4,0
"ARSO 53 Alameda 1, Plano Diretor Sul",699000,150,3,3,2
"Plano Diretor Norte, Palmas",670000,136,3,2,2
"Plano Diretor Sul, Palmas",500000,450,4,1,2
"Plano Diretor Sul, Palmas",700000,360,3,1,2
"Quadra ARSO 52 Alameda 15, Plano Diretor Sul",1050000,193,3,4,0
"Plano Diretor Sul, Palmas",519000,111,3,1,2
"Quadra ARSO 52 Alameda 37, Plano Diretor Sul",430000,103,2,1,2
"Plano Diretor Sul, Palmas",580000,260,5,5,2
"Plano Diretor Sul, Palmas",499000,250,5,3,3
"Plano Diretor Sul, Palmas",740000,122,3,4,0
"Plano Diretor Sul, Palmas",950000,250,4,3,2
"Plano Diretor Sul, Palmas",695000,330,3,2,2
"Plano Diretor Norte, Palmas",1200000,360,3,4,4
"Plano Diretor Sul, Palmas",3100000,264,4,5,4
"Plano Diretor Sul, Palmas",760000,300,3,1,3
"Plano Diretor Sul, Palmas",660000,158,3,1,2
"Quadra ARSO 52 Alameda 5, Plano Diretor Sul",520000,104,2,1,2
"Quadra ARSO 52 Alameda 2, Plano Diretor Sul",990000,360,3,3,4
"Quadra ARSE 111 Alameda 13, Plano Diretor Sul",600000,200,3,3,4
"Plano Diretor Sul, Palmas",1250000,211,3,4,4
"Plano Diretor Norte, Palmas",565000,125,3,1,3
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",520000,180,3,2,2
"Plano Diretor Sul, Palmas",1100000,360,3,4,3
"Plano Diretor Sul, Palmas",660000,200,5,2,2
"Plano Diretor Sul, Palmas",1400000,382,4,3,4
"Plano Diretor Sul, Palmas",380000,100,3,1,2
"Plano Diretor Sul, Palmas",760000,448,3,1,3
"Plano Diretor Sul, Palmas",700000,135,3,3,0
"Quadra ALCSO 141B QD 19, Plano Diretor Sul",650000,219,3,1,2
"Plano Diretor Sul, Palmas",790000,360,3,1,2
"Quadra ARSO 52 Alameda 20, Plano Diretor Sul",530000,96,2,1,2
"Plano Diretor Sul, Palmas",1350000,450,4,2,4
"Plano Diretor Sul, Palmas",670000,340,3,1,2
"Plano Diretor Sul, Palmas",1200000,360,3,4,3
"Plano Diretor Sul, Palmas",3000000,350,4,5,3
"ARSO 43 Alameda 3, Plano Diretor Sul",625000,150,3,2,2
"Quadra ARSO 52 Alameda 40, Plano Diretor Sul",1180000,190,3,3,4
"Plano Diretor Sul, Palmas",580000,137,3,1,2
"Plano Diretor Sul, Palmas",750000,279,3,1,4
"Quadra ARNE 71 Alameda 14, Plano Diretor Norte",500000,130,2,1,2
"Plano Diretor Norte, Palmas",650000,147,3,3,1
"Quadra ARNE 71 Alameda 9, Plano Diretor Norte",660000,136,3,2,2
"Plano Diretor Sul, Palmas",2100000,420,4,5,4
"Quadra ARSO 52 Alameda 40, Plano Diretor Sul",1299000,200,3,2,2
"Plano Diretor Sul, Palmas",920000,177,3,4,2
"Plano Diretor Sul, Palmas",165000,70,2,1,1
"Plano Diretor Sul, Palmas",1750000,355,3,4,5
"Plano Diretor Sul, Palmas",560000,140,3,3,2
"Plano Diretor Sul, Palmas",850000,360,3,2,2
"Plano Diretor Sul, Palmas",530000,180,3,1,2
"Plano Diretor Sul, Palmas",739000,247,3,1,2
"Quadra ARSE 142 Alameda 5, Plano Diretor Sul",299000,81,2,1,1
"Plano Diretor Sul, Palmas",890000,323,3,3,2
"Plano Diretor Sul, Palmas",1300000,1000,5,5,5
"Plano Diretor Sul, Palmas",280000,152,2,1,1
"Plano Diretor Sul, Palmas",550000,201,4,2,4
"Plano Diretor Sul, Palmas",380000,130,3,2,0
"Plano Diretor Sul, Palmas",1200000,200,3,2,0
"Quadra ARSE 21 Alameda 10, Centro",1500000,355,5,4,5
"Plano Diretor Sul, Palmas",1200000,195,3,5,0
"Plano Diretor Sul, Palmas",1150000,500,4,6,4
"Plano Diretor Sul, Palmas",570000,103,3,1,2
"ARSE 22 Alameda 4, Plano Diretor Sul",900000,290,5,5,1
"ARSO 31 Alameda 1, Plano Diretor Sul",3900000,780,4,5,0
"ARSO 54 Alameda 23, Plano Diretor Sul",850000,250,4,1,4
"Quadra ARNE 71 Alameda 8, Plano Diretor Norte",699000,126,3,2,2
"ARSE 23 Alameda 13, Plano Diretor Sul",1150000,300,4,4,3
"Quadra ARSO 52 Alameda 25, Plano Diretor Sul",950000,210,3,1,2
"Plano Diretor Sul, Palmas",1100000,308,3,3,3
"Plano Diretor Sul, Palmas",1299000,360,3,3,3
"ARSO 61 Alameda 9, Plano Diretor Sul",2600000,600,4,6,12
"Plano Diretor Sul, Palmas",490000,250,3,1,1
"ARSO 62 Alameda 7, Plano Diretor Sul",980000,179,3,3,4
"Quadra ARSE 41 Alameda 13, Plano Diretor Sul",1908900,303,5,5,6
"ARSO 53 Avenida NS 7, Plano Diretor Sul",580000,105,3,2,2
"Plano Diretor Sul, Palmas",950000,233,3,2,2
"Plano Diretor Sul, Palmas",1800000,350,4,4,5
"Quadra ARSO 52 Alameda 25, Plano Diretor Sul",600000,127,2,1,1
"Plano Diretor Sul, Palmas",420000,92,3,1,3
"Plano Diretor Norte, Palmas",700000,250,8,6,1
"Plano Diretor Norte, Palmas",625000,157,4,2,2
"Plano Diretor Sul, Palmas",1490000,210,3,4,4
"Plano Diretor Sul, Palmas",760000,360,3,1,2
"Quadra ARSO 111 Alameda 14, Plano Diretor Sul",700000,158,3,3,3
"Plano Diretor Sul, Palmas",615000,109,3,2,2
"Plano Diretor Sul, Palmas",440000,180,3,1,2
"Plano Diretor Sul, Palmas",3400000,347,4,7,0
"ARSO 32 Rua 7, Plano Diretor Sul",1700000,410,4,5,6
"ARSO 61 Alameda 1, Plano Diretor Sul",1200000,280,4,4,4
"Plano Diretor Sul, Palmas",850000,360,3,4,3
"Plano Diretor Sul, Palmas",1600000,450,4,5,4
"Plano Diretor Sul, Palmas",599000,108,3,2,2
"Plano Diretor Sul, Palmas",1100000,300,4,3,5
"Plano Diretor Sul, Palmas",1600000,544,4,2,4
"Plano Diretor Norte, Palmas",430000,137,3,1,2
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",520000,103,3,2,2
"ARNE 12 Alameda 3, Plano Diretor Norte",1200000,196,3,5,4
"Plano Diretor Sul, Palmas",550000,103,3,2,2
"Plano Diretor Sul, Palmas",700000,132,3,3,0
"Rua Zeca Moraes, Plano Diretor Sul",390000,195,2,2,4
"Plano Diretor Sul, Palmas",880000,150,3,2,3
"ARSO 24 Avenida NS 9, Plano Diretor Sul",2800000,350,4,5,0
"Plano Diretor Sul, Palmas",695000,224,3,1,2
"Plano Diretor Sul, Palmas",1300000,1380,4,5,4
"Plano Diretor Sul, Palmas",280000,360,2,1,1
"Plano Diretor Sul, Palmas",3000000,378,5,5,4
"Plano Diretor Sul, Palmas",700000,182,3,4,3
"Plano Diretor Norte, Palmas",950000,320,3,1,3
"Plano Diretor Sul, Palmas",1100000,202,3,4,0
"Graciosa - Orla 14 , Palmas",1750000,284,4,7,0
"ARSO 53 Alameda 2, Plano Diretor Sul",730000,133,3,2,3
"Plano Diretor Sul, Palmas",1750000,355,4,3,4
"Plano Diretor Sul, Palmas",920000,182,4,4,3
"Quadra ARSE 111 Alameda 12, Plano Diretor Sul",1600000,210,3,3,2
"Plano Diretor Sul, Palmas",1500000,397,5,6,0
"Quadra ALC-SO 141 - Mirante do Lago Avenida NS 15, Plano Diretor Sul",2100000,234,4,5,4
"Plano Diretor Sul, Palmas",2300000,353,4,5,4
"Plano Diretor Sul, Palmas",1700000,353,4,6,0
"Plano Diretor Sul, Palmas",1600000,240,4,5,4
"ARSE 12 Alameda 14, Plano Diretor Sul",940000,280,3,3,2
"Plano Diretor Sul, Palmas",1980000,240,4,5,3
"ARSE 22 Alameda 2, Plano Diretor Sul",950000,360,4,4,2
"Plano Diretor Sul, Palmas",2100000,248,4,5,4
"Plano Diretor Sul, Palmas",630000,230,3,4,2
"Plano Diretor Sul, Palmas",540000,360,2,1,2
"Quadra ARSO 151 QI 35, Plano Diretor Sul",530000,225,4,3,2
"Plano Diretor Sul, Palmas",650000,230,3,1,2
"Plano Diretor Sul, Palmas",700000,420,6,2,3
"Plano Diretor Sul, Palmas",750000,185,3,4,0
"ARSO 33 Rua 8, Plano Diretor Sul",1800000,450,6,7,6
"Quadra ARSO 52 Alameda 40, Plano Diretor Sul",540000,120,3,2,2
"Plano Diretor Sul, Palmas",1600000,495,4,1,3
"Quadra ARSE 51 Alameda 6, Plano Diretor Sul",680000,156,1,1,2
"Plano Diretor Sul, Palmas",577500,104,3,2,3
"Plano Diretor Sul, Palmas",700000,143,3,3,4
"Quadra ARNE 24 Alameda 5, Plano Diretor Norte",490000,85,2,1,1
"Plano Diretor Sul, Palmas",580000,360,3,1,2
"Plano Diretor Sul, Palmas",1180000,360,3,1,2
"Plano Diretor Sul, Palmas",760000,235,3,1,2
"Plano Diretor Sul, Palmas",700000,175,3,1,2
"Plano Diretor Sul, Palmas",1150000,200,3,3,0
"Plano Diretor Sul, Palmas",1200000,200,3,1,2
"Plano Diretor Sul, Palmas",680000,175,3,1,2
"Plano Diretor Sul, Palmas",550000,116,3,1,2
"Plano Diretor Sul, Palmas",1400000,720,5,4,5
"Plano Diretor Sul, Palmas",600000,300,3,1,2
"Plano Diretor Norte, Palmas",3400000,347,4,5,4
"Quadra ARSO 52 Alameda 30, Plano Diretor Sul",990000,170,3,4,3
"Plano Diretor Sul, Palmas",450000,365,3,1,1
"Plano Diretor Sul, Palmas",900000,184,3,4,3
"Plano Diretor Sul, Palmas",680000,172,3,1,4
"Plano Diretor Norte, Palmas",1200000,196,3,1,2
"Plano Diretor Sul, Palmas",900000,225,4,4,4
"Plano Diretor Sul, Palmas",1100000,300,4,6,0
"ARSO 54 Alameda 8, Plano Diretor Sul",680000,163,3,1,2
"Plano Diretor Norte, Palmas",1600000,265,4,6,3
"Plano Diretor Sul, Palmas",990000,184,3,4,2
"Plano Diretor Sul, Palmas",990000,170,3,3,4
"Plano Diretor Norte, Palmas",1000000,112,3,2,4
"Plano Diretor Sul, Palmas",1800000,214,4,6,3
"Plano Diretor Sul, Palmas",1350000,240,4,5,4
"Plano Diretor Sul, Palmas",780000,208,3,1,3
"Plano Diretor Sul, Palmas",650000,200,3,1,2
"Plano Diretor Sul, Palmas",2250000,400,5,7,4
"Plano Diretor Sul, Palmas",570000,129,3,2,2
"Plano Diretor Sul, Palmas",660000,152,3,1,2
"Plano Diretor Norte, Palmas",690000,246,3,3,1
"Plano Diretor Sul, Palmas",629000,125,3,3,2
"Plano Diretor Sul, Palmas",1800000,238,3,4,3
"Plano Diretor Sul, Palmas",800000,293,3,1,2
"Plano Diretor Sul, Palmas",950000,360,4,1,2
"Plano Diretor Sul, Palmas",850000,360,3,1,2
"Plano Diretor Sul, Palmas",1300000,462,3,1,6
"ARSO 32 Alameda 2, Plano Diretor Sul",1980000,373,4,4,4
"Plano Diretor Sul, Palmas",570000,130,3,2,0
"Plano Diretor Sul, Palmas",850000,230,4,2,2
"Plano Diretor Sul, Palmas",800000,450,2,1,3
"Area Rural de Palmas, Palmas",80000000,4758,1,1,1
"Plano Diretor Sul, Palmas",730000,126,3,1,3
"ARSO 22 Alameda 22, Plano Diretor Sul",695000,153,3,3,0
"Quadra ARNE 41 Alameda 2, Plano Diretor Norte",850000,186,3,2,0
"Plano Diretor Sul, Palmas",899000,184,3,1,2
"Plano Diretor Sul, Palmas",800000,145,3,4,0
"Plano Diretor Sul, Palmas",649000,129,3,3,3
"Loteamento Residencial Polinesia, Palmas",2500000,281,3,1,2
"Quadra ARSO 52 Alameda 29, Plano Diretor Sul",799900,167,3,1,2
"ARSO 31 Área ACSV SO 31, Plano Diretor Sul",1700000,300,4,5,0
"Quadra ALC-SO 141 - Mirante do Lago Avenida NS 15, Plano Diretor Sul",3000000,379,5,5,4
"Plano Diretor Sul, Palmas",3000000,309,4,4,4
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",1350000,196,3,3,0
"Plano Diretor Sul, Palmas",580000,124,3,2,2
"Plano Diretor Sul, Palmas",3150000,378,3,4,4
"Plano Diretor Sul, Palmas",1100000,297,4,2,4
"Quadra ALC-SO 141 - Mirante do Lago Avenida NS 15, Plano Diretor Sul",2100000,234,4,5,4
"Plano Diretor Sul, Palmas",3600000,377,4,4,4
"ARSO 22 Alameda 13, Plano Diretor Sul",4500000,1080,5,8,8
"Plano Diretor Sul, Palmas",630000,126,3,2,3
"Plano Diretor Sul, Palmas",1850000,488,6,6,6
"Plano Diretor Sul, Palmas",1400000,360,3,1,4
"Plano Diretor Sul, Palmas",1400000,212,3,5,0
"Plano Diretor Sul, Palmas",1800000,409,4,5,4
"Plano Diretor Sul, Palmas",2500000,900,4,6,4
"Plano Diretor Sul, Palmas",1300000,360,4,1,3
"Plano Diretor Sul, Palmas",950000,360,3,1,2
"Plano Diretor Sul, Palmas",650000,165,3,3,4
"ARSO 23 Alameda 12, Plano Diretor Sul",2500000,492,4,6,10
"Plano Diretor Sul, Palmas",1200000,1427,3,1,4
"Quadra ALC-SO 141 - Mirante do Lago Avenida NS 15, Plano Diretor Sul",3000000,379,5,7,3
"ARNE 13 Alameda 14, Plano Diretor Norte",750000,240,4,1,2
"Quadra ALC-SO 141 - Mirante do Lago Avenida NS 15, Plano Diretor Sul",4500000,400,4,4,5
"ARNE 12 Alameda 9, Plano Diretor Norte",900000,263,2,3,2
"Plano Diretor Sul, Palmas",1200000,450,5,1,3
"Plano Diretor Sul, Palmas",3000000,420,4,4,3
"ARSE 13 Alameda 12, Plano Diretor Sul",750000,213,2,1,3
"Plano Diretor Sul, Palmas",1600000,216,5,6,0
"Plano Diretor Sul, Palmas",1300000,370,4,1,4
"ARSO 43 Alameda 3, Plano Diretor Sul",625000,135,2,1,3
"Plano Diretor Sul, Palmas",3000000,378,5,6,4
"ARSO 31 Alameda 21, Plano Diretor Sul",2500000,432,5,6,5
"Plano Diretor Sul, Palmas",990000,192,3,1,2
"Plano Diretor Sul, Palmas",1750000,380,3,2,4
"Plano Diretor Sul, Palmas",450000,118,3,3,0
"Plano Diretor Sul, Palmas",1500000,247,4,1,2
"ARSO 34 Rua 17, Plano Diretor Sul",1900000,197,3,4,19
"Quadra ARSO 52 Alameda 44, Plano Diretor Sul",990000,170,3,3,4
"Plano Diretor Sul, Palmas",1100000,192,3,1,4
"Plano Diretor Sul, Palmas",2100000,420,4,1,2
"ARSO 23 Alameda 12, Plano Diretor Sul",2500000,492,4,6,10
"ARSO 53 Alameda 2, Plano Diretor Sul",1400000,218,3,3,0
"Plano Diretor Sul, Palmas",1600000,420,4,1,3
"Quadra ARSE 102 Alameda 7, Plano Diretor Sul",380000,246,1,1,4
"Plano Diretor Sul, Palmas",1250000,211,3,1,2
"Plano Diretor Sul, Palmas",1395000,219,3,1,2
"Plano Diretor Sul, Palmas",920000,178,3,3,0
"Plano Diretor Sul, Palmas",2300000,652,5,1,4
"Quadra ARSO 52 Alameda 20, Plano Diretor Sul",1100000,192,3,2,0
"Plano Diretor Sul, Palmas",1100000,220,4,3,0
"Plano Diretor Sul, Palmas",1795000,488,6,2,6
"ARSO 33 Rua 3, Plano Diretor Sul",900000,400,4,4,3
"Graciosa - Orla 14 , Palmas",2600000,600,6,9,7
"Plano Diretor Norte, Palmas",2000000,385,5,5,4
"Plano Diretor Sul, Palmas",2500000,433,5,3,4
"Plano Diretor Sul, Palmas",3200000,400,4,6,4
"ARSO 34 Rua 17, Plano Diretor Sul",2950000,328,4,5,4
"Plano Diretor Sul, Palmas",740000,128,3,3,0
"Quadra ACNO 11 Rua NO 11, Plano Diretor Sul",1200000,393,5,5,4
"ARSO 14 Avenida NS 9, Plano Diretor Sul",2600000,268,4,5,4
"ARSO 61 Alameda 4, Plano Diretor Sul",950000,281,4,2,2
"Orla 14 Alameda 13, Graciosa - Orla 14",2490000,380,4,5,11
"ARSO 32 Rua 4, Plano Diretor Sul",690000,199,1,1,0
"Quadra ALC-SO 141 - Mirante do Lago Avenida NS 15, Plano Diretor Sul",3000000,380,5,1,2
"Plano Diretor Sul, Palmas",1559000,70,2,2,0
"Loteamento Caribe, Loteamento Caribe",2990000,317,4,5,4
"ARSO 31 Alameda 20, Plano Diretor Sul",2300000,433,5,1,4
"Quadra ALC-SO 141 - Mirante do Lago Avenida NS 15, Plano Diretor Sul",1650000,210,3,2,2
"ARSO 24 Avenida NS 9, Plano Diretor Sul",1600000,194,3,1,2
"Quadra ALC-SO 141 - Mirante do Lago Avenida NS 15, Plano Diretor Sul",1600000,210,3,2,2
"Plano Diretor Sul, Palmas",1985000,400,4,5,4
"Quadra ALC-SO 141 - Mirante do Lago Avenida NS 15, Plano Diretor Sul",2100000,240,4,1,2
